id,tool_id,approved_date,table,is_approved,is_requester_received,is_returned,returned_quantity
1456,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-23 10:22:40,inventories,1,0,0,
1455,12cd63a5-f6aa-4d6d-9445-9bdda5cd4e89,2025-07-23 10:13:30,inventories,1,0,0,
1454,e0a477ce-66f9-46cf-bc2d-2d5a6f420f7c,2025-07-23 05:50:04,inventories,1,0,0,
1453,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-23 05:50:12,inventories,1,0,0,
1451,12cd63a5-f6aa-4d6d-9445-9bdda5cd4e89,2025-07-21 11:54:01,inventories,1,0,0,
1449,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-18 07:03:54,inventories,1,0,0,
1448,00089064-1303-49d7-a281-ade9354a28d3,2025-07-21 11:54:25,inventories,1,0,0,
1447,f78ac567-e7b2-448f-b86a-8559ba69e2ba,2025-07-16 12:15:09,inventories,1,0,0,
1446,1577efc9-9617-4009-9e10-13e673f6cfa8,2025-07-16 12:15:24,inventories,1,0,0,
1445,b9f46b80-2d90-4c0a-8f21-c73b86a8c5a0,2025-07-16 12:15:46,inventories,1,0,0,
1444,09fab61c-6d19-49d5-aefa-64d530d088ca,2025-07-16 12:15:56,inventories,1,0,0,
1443,509f22d5-3a4b-4946-9e1b-a21a2312eb73,2025-07-16 12:16:47,inventories,1,0,0,
1442,ea7b08c1-28f9-4fca-b65b-d5cf90ad4ec0,2025-07-16 12:16:59,inventories,1,0,0,
1441,ea7b08c1-28f9-4fca-b65b-d5cf90ad4ec0,2025-07-16 12:17:20,inventories,1,0,0,
1440,ea7b08c1-28f9-4fca-b65b-d5cf90ad4ec0,2025-07-16 12:18:54,inventories,1,0,0,
1439,a0dd6e1f-dd1d-42c7-8ff2-77bf66cce019,2025-07-16 07:53:11,inventories,1,1,0,
1438,3eb56ee9-b19e-437a-8074-68f890330129,2025-07-15 12:13:09,inventories,1,1,0,
1437,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-07-15 10:52:20,inventories,1,0,0,
1436,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-15 10:52:35,inventories,1,0,0,
1435,56ef7d4f-e564-46f7-bc47-a7ad3925a855,2025-07-15 10:52:47,inventories,1,1,0,
1433,390b1ec8-6481-47fb-affd-b7093e9634b1,2025-07-15 10:54:13,inventories,1,0,0,
1432,b6bf5cec-191f-45d4-b77e-f86a0002e03f,2025-07-15 10:54:24,inventories,1,0,0,
1431,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-07-15 10:54:37,inventories,1,1,0,
1430,74308b4b-1c25-4882-8945-1c4bd66b1cb5,2025-07-15 12:23:17,inventories,1,0,0,
1429,0ac5088b-bbc1-4b77-a99b-08740a63eb8b,2025-07-16 13:06:33,inventories,1,0,0,
1426,0138dadd-ecfe-4fa1-97a5-bb18f498c7d7,2025-07-16 13:04:38,inventories,1,0,0,
1425,95789799-560d-4e9b-969d-0e7b29032b78,2025-07-15 13:22:20,inventories,1,0,0,
1424,8d61a3f1-a6c9-4e48-b2ff-a175db9f2595,2025-07-16 13:04:05,inventories,1,0,0,
1423,fceead7d-1125-4108-bfef-ab6229becabf,2025-07-16 13:04:21,inventories,1,0,0,
1421,fa6e6677-208b-4eae-b1ef-7ae9fd2de8f4,2025-07-03 07:11:55,inventories,1,0,0,
1420,94e5346b-b0a9-414c-b59f-4ff8b4db6801,2025-07-03 13:22:59,inventories,1,0,0,
1419,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-03 13:23:10,inventories,1,0,0,
1418,35446524-b1d3-471c-8945-a2b020e212e7,2025-07-03 13:23:21,inventories,1,0,0,
1416,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-06-30 12:08:33,inventories,1,0,0,
1415,4fada355-cf98-422b-bbbf-0526537a1ae3,2025-07-03 08:31:18,inventories,1,1,0,
1414,467689bb-6e2d-4bfc-bf3f-33f49239306f,2025-07-03 13:23:30,inventories,1,0,0,
