project_name,item_name,source,total_requested,total_received,total_returned,total_approved,last_updated
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Jig Saw,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Knife Cutter,tools,6.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Metal Hammer,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Metal Saw / Segeto,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Metal ladder,tools,4.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Multimeter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),OTDR,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Right Angle Ruler / Squadra,tools,5.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Roll Meter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Scissor,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Side Cutter,tools,6.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Spanner,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Splice Protector Sleeve,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Splicing Machine,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Sprit Leveler,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Star screw driver,tools,9.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Tube Bender,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),UTP Cable Tester,tools,5.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),UTP Crimper,tools,7.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),UTP Puncher,tools,7.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Universal Plier / Pinsa,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Wood Grinder,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Commissioning of Smart Communication Rooms at Selected Twenty Governmental Institutions on a Turnkey Basis at 20 sites  (Ref.No ET-MINT-345419-GO-RFB),Wood Saw,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Big Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Brother Labeler/Labeling Machine,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Chargeable Drill,tools,5.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Flat/Minus Screw Drivers,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Hole Saw 51MM,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Knife Cutter,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Metal ladder,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Multimeter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,OTDR,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Splice Protector Sleeve,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Splicing Machine,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Star screw driver,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,UTP Cable Tester,tools,4.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,UTP Crimper,tools,4.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,UTP Puncher,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Smart Room Support,Universal Plier / Pinsa,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Software License (Ref.No.ET-MInT-346845-GO-RFB)2023,Flat/Minus Screw Drivers,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MINT Software License (Ref.No.ET-MInT-346845-GO-RFB)2023,Star screw driver,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MInT smart communication room,Big Drill,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MInT smart communication room,Chargeable Drill,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MInT smart communication room,UTP Crimper,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOF (OFAG) Audio Video,Hand Meter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOF (OFAG) Audio Video,Hole Saw 51MM,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOR HCI Solution,Brother Labeler/Labeling Machine,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOR HCI Solution,Flat/Minus Screw Drivers,tools,4.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOR HCI Solution,Roll Meter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOR HCI Solution,Star screw driver,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Big Drill,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Chargeable Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Flat/Minus Screw Drivers,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Multimeter,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Scissor,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Side Cutter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Soldering Machine,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Star screw driver,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MOTI,Universal Plier / Pinsa,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MiNT(ECA) - DC,Adjustable Wrench,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MiNT(ECA) - DC,Chargeable Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MiNT(ECA) - DC,Filter Removal Tool,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MiNT(ECA) - DC,Flat/Minus Screw Drivers,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
MiNT(ECA) - DC,Multimeter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MiNT(ECA) - DC,Star screw driver,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MiNT(ECA) - DC,Universal Plier / Pinsa,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MoF OFAG-AV,Big Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MoF OFAG-AV,Grinder / Small,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MoF OFAG-AV,Multimeter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
MoF OFAG-AV,Right Angle Ruler / Squadra,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Big Drill,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Chargeable Drill,tools,5.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Flat/Minus Screw Drivers,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Hole Saw 51MM,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Jig Saw,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Knife Cutter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Metal Hammer,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Metal ladder,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Multimeter,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Plastic Hammer,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Side Cutter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Sprit Leveler,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Star screw driver,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Tong,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,UTP Cable Tester,tools,3.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,UTP Crimper,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
OFAG,Universal Plier / Pinsa,tools,4.0,0.0,0.0,0.0,2025-09-16 05:00:15
Project- MINT Smart Communication and Turnkey (Ref.No ET-MINT-345419-GO-RFB),Big Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
Project- MINT Smart Communication and Turnkey (Ref.No ET-MINT-345419-GO-RFB),Jig Saw,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
Store and Inventory,Big Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
Store and Inventory,LED Lamp Beads,inventory,54.0,0.0,0.0,1.0,2025-09-16 05:00:15
Store and Inventory,LED Lamp Beads( CONNECTOR ),inventory,3.0,0.0,0.0,1.0,2025-09-16 05:00:15
Store and Inventory,Metal Hammer,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
Store and Inventory,Test 1,tools,9.0,0.0,0.0,0.0,2025-09-16 05:00:15
Test Project,Star screw driver,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
Test Project,Test 1,tools,5.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Global UK-Visa Center,Allen Key,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Global UK-Visa Center,Chargeable Drill,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Global UK-Visa Center,Flat/Minus Screw Drivers,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Global UK-Visa Center,Grinder / Small,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Global UK-Visa Center,Sprit Leveler,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Global UK-Visa Center,Star screw driver,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Global UK-Visa Center,Universal Plier / Pinsa,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Allen Key,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Chargeable Drill,tools,4.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Flat/Minus Screw Drivers,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Grinder / Small,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Hand Meter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Hole Saw 51MM,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Hydraulic Cable Crimper,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Knife Cutter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Manual Forklift/Trolly,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Multimeter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Roll Meter,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Star screw driver,tools,2.0,0.0,0.0,0.0,2025-09-16 05:00:15
VFS Saudi Mofa RFQ-893,Universal Plier / Pinsa,tools,1.0,0.0,0.0,0.0,2025-09-16 05:00:15
