item_id,project_id,time_period_start,requested_qty,received_qty,returned_qty,consumed_qty,end_available_amount,end_total_quantity,overdue_returns_count,avg_days_to_return
0003e313-bc27-4c94-ac3b-21b08383c3fa,6e9a0257-963f-4255-89d1-4136da81e028,2025-01-27,0.0,0.0,0.0,0.0,1,0,0,
0003e313-bc27-4c94-ac3b-21b08383c3fa,6e9a0257-963f-4255-89d1-4136da81e028,2025-09-01,1.0,0.0,0.0,0.0,1,0,0,
00089064-1303-49d7-a281-ade9354a28d3,unknown,2025-07-14,0.0,0.0,0.0,0.0,108,108,0,
00089064-1303-49d7-a281-ade9354a28d3,unknown,2025-09-01,1.0,1.0,0.0,0.0,107,108,0,
000d13b3-90b8-4995-bc81-fdca1461f37d,unknown,2025-07-28,0.0,0.0,0.0,0.0,35,35,1,48.0
00127af5-67f8-4819-a7e2-6fa0a225611f,unknown,2025-01-20,1.0,0.0,0.0,0.0,1,864,0,
0017821f-df51-4b1f-95d3-47d5b324bafd,unknown,2025-07-21,0.0,0.0,0.0,0.0,1,29,0,
0038b2e0-5fd7-46b7-84e6-7a102a852975,56531ff2-8c19-4a76-a15f-7ba40389b4d6,2024-10-07,0.0,2.0,0.0,0.0,11,0,1,278.0
003c6eaf-a63b-4b57-bab0-ef3d20c10315,unknown,2025-01-06,0.0,1.0,0.0,0.0,99,100,1,243.0
005402f1-c5c3-4fe8-b937-6755451aeea8,6e9a0257-963f-4255-89d1-4136da81e028,2025-01-20,0.0,0.0,0.0,0.0,0,0,0,
005f0d2d-8f6c-4a11-b253-b9ae56a88fa7,6e9a0257-963f-4255-89d1-4136da81e028,2024-04-22,0.0,1.0,0.0,0.0,10,0,0,
005f0d2d-8f6c-4a11-b253-b9ae56a88fa7,6e9a0257-963f-4255-89d1-4136da81e028,2024-06-03,0.0,0.0,0.0,0.0,10,0,3,466.0
0066c0c6-1331-44c4-a209-125c99891fab,unknown,2025-01-20,3.0,0.0,0.0,0.0,3,3,0,
0092b44b-cc94-458c-a0a2-46e1f6f1c92f,unknown,2025-02-10,0.0,0.0,0.0,0.0,3,3,1,215.0
00c0a4ee-bfbd-4705-a5a6-01bc0067dc0a,6e9a0257-963f-4255-89d1-4136da81e028,2025-02-17,0.0,1.0,0.0,0.0,0,0,1,195.0
00c0a4ee-bfbd-4705-a5a6-01bc0067dc0a,6e9a0257-963f-4255-89d1-4136da81e028,2025-05-19,1.0,0.0,0.0,0.0,0,0,0,
