id,department_id,source,total_quantity,current_stock
0257e9e1-2939-4b40-8ec9-cfdb5231e09d,ICT Park TTA,asset,45.0,45.0
027bb900-468c-4ecd-88ac-f89e4ed00c4a,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
02843b11-a257-47d6-93b2-daab901f5ddd,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
02960ff9-cdbf-411e-a3ac-433af30074d1,ICT Park TTA,inventory,6.0,6.0
02a74038-6a90-4693-be7d-1718902f99df,HQ Office Facility,inventory,29.0,29.0
02a8f8f9-65ba-411e-8153-c40000a41393,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
02b71732-9df0-4019-92b8-656620b050ba,ICT Park TTA,inventory,10.0,10.0
02b839c4-1eaf-4169-ba9e-206abcd1aa44,MINT Commissioning of Smart Communication Rooms at,inventory,88.0,88.0
02ccac24-94f0-489b-b1d5-6a660888c482,ICT Park TTA,inventory,200.0,200.0
02d5c7ec-9dfc-4f3e-a4e2-47627eb5681e,ICT Park TTA,inventory,200.0,200.0
02ed310d-e692-4127-8ebf-b9ba117be97d,EPSS,inventory,150.0,150.0
02eda6ff-baa6-4fdf-b869-132636be224d,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
02f0ace0-c04b-4ba9-9976-3ad3c0f3dbec,ICT Park TTA,inventory,200.0,200.0
02f8c2ed-c834-4f18-aacf-ef73a7527fca,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
02f8d2e7-726a-43e7-83f2-622f1c6cc518,ICT Park TTA,asset,40.0,40.0
031203f6-c51d-4c53-a7c9-5998320b9b78,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
031204a8-7d4c-4719-839b-e0731d1769be,HQ Office Facility,inventory,60.0,60.0
031dceb6-4901-4ba3-be4f-94b4535103f7,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0322c0e2-7b41-4e96-8c69-bab3f51d9b2a,ICT Park TTA,inventory,10.0,10.0
0337cafb-fc03-477c-9fe2-36c1d8c88280,MINT Commissioning of Smart Communication Rooms at,inventory,87.0,87.0
03407f89-39f7-4a8c-b242-3e421f15eefe,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
0342e958-39d0-407c-b1e6-b69f1468f43e,MINT Commissioning of Smart Communication Rooms at,inventory,1.0,1.0
034871a6-3dc5-465a-8817-6a4ab10c829c,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03560f8f-0a66-4fae-91a9-b633d45f081f,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
035e98dd-7953-492c-a98d-e73a23128ed7,HQ Office Facility,inventory,3.0,3.0
035ed2a8-1354-4822-b347-f5aa61dea545,MINT Commissioning of Smart Communication Rooms at,inventory,30.0,30.0
037209a3-ba6f-4079-ae77-a37e65292f38,HQ Office Facility,inventory,60.0,60.0
03749109-d9a5-4a21-9ff6-e01968643ce0,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03828f25-1b86-42f5-bb9a-ee92c04dc908,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03870bf0-6e7e-40ac-8d0e-baf97eec2938,MINT Commissioning of Smart Communication Rooms at,inventory,1.0,1.0
0387b75a-e453-4e7b-8cbf-2cb0264df968,HQ fleet,asset,2.0,2.0
038a2a34-a7e8-475a-bb23-15a78eaa3d75,HQ Office Facility,asset,11.0,11.0
038ce975-128a-4503-aa0d-13611adb0f8f,Kaizen VC Equipment,inventory,40.0,40.0
038e9e05-3846-46a0-abdd-b80dfdea7032,Kaizen VC Equipment,inventory,150.0,150.0
038f82c7-0579-4a64-92c8-521ad8211368,ICT Park TTA,inventory,5.0,5.0
039d7ce9-8777-40ff-9add-0d428cf77508,ICT Park TTA,inventory,12.5,12.5
03a52d31-8edb-45ea-b06a-bec45cd825ad,ICT Park TTA,inventory,45.0,45.0
03ae4577-626f-4a83-a61a-b3763552d252,ICT Park TTA,inventory,20.0,20.0
03b03fde-fe78-4e84-b088-f898276f1dcb,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
03ba3cfa-28d4-41c2-9222-f4b0d3987d01,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03bdfb13-ffe0-4843-bb35-9909f92fe6c6,MINT Commissioning of Smart Communication Rooms at,inventory,48.0,48.0
03c3803c-2ffe-4206-9da6-be89ced37a54,HQ Office Facility,inventory,2.0,2.0
03ca44fb-3a82-4bc1-b600-f459de527efa,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
03ca9a4a-5bbf-4b6a-a892-2ac791326860,ICT Park TTA,inventory,20.0,20.0
03d30248-c9bb-4f9e-bbb4-271590677644,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03dc38c8-9b20-4b8e-84ce-b52eabde374e,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03de6bc8-be00-452a-9516-90ab7ed0e51e,HQ Office Facility,inventory,4.0,4.0
03e1f429-2b74-46be-b6fb-4132e18d67bb,ICT Park TTA,asset,12.0,12.0
03e5d22e-0a5d-40b7-90aa-64e296044095,ICT Park TTA,asset,10.0,10.0
03e9db75-b046-411c-96c2-d3e3a8ec84f2,HQ fleet,inventory,1.0,1.0
03edda44-fc64-44e9-a001-bf711e1dbec8,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
03eee47f-acee-401e-bcfb-eb10eaafceb8,MINT Commissioning of Smart Communication Rooms at,inventory,1000.0,1000.0
03effb4a-2c17-47b3-81d3-be01328ea79f,MINT Commissioning of Smart Communication Rooms at,inventory,48.0,48.0
03fb8715-1632-4834-ad4a-757552d3d808,ICT Park TTA,inventory,25.0,25.0
0401eb19-7364-458b-b0f4-e37620173d3a,ICT Park TTA,asset,45.0,45.0
0408ba12-b47b-47a2-a408-dbe67acecc16,ICT Park TTA,asset,45.0,45.0
0411e64e-c4f8-4de2-9014-80f6f9b09b55,ICT Park TTA,inventory,200.0,200.0
0411f88d-810a-41bc-a4ad-3e42026e0b7c,HQ Office Facility,inventory,60.0,60.0
0413c9b3-1e06-4c9f-9f77-bbc0ecd0ab0e,MINT Commissioning of Smart Communication Rooms at,inventory,120.0,120.0
04311745-8d48-447d-938f-c7f67d5ee3cb,MINT Commissioning of Smart Communication Rooms at,inventory,864.0,864.0
045dd29b-384b-4441-a0d2-ba0abf2ac28b,Kaizen VC Equipment,inventory,8.0,8.0
0473dc33-0673-4604-8de3-5d091899d9f0,ICT Park TTA,inventory,200.0,200.0
